# 歌名	歌手	source	source_id	备注
晴天	周杰伦	joox	bLnv0PqDX_qAlIqapc+Okw==	晴天 - 周杰倫
七里香	周杰伦	joox	vT8gcKzRFXzZypW6PJuLCA==	七里香 - 周杰倫
稻香	周杰伦	joox	5x6BDdk81oMKqiU2fQ3iwg==	稻香 - 周杰倫
安静	周杰伦	joox	ywBQlEYRT9HLU7vTuH688g==	安靜 - 周杰倫
简单爱	周杰伦	joox	g2cZcAovoujimEEtUCYuVA==	簡單愛 - 周杰倫
告白气球	周杰伦	joox	uPZirG1+JSxugKvPA7pyJQ==	告白氣球 - 周杰倫
夜曲	周杰伦	joox	wHSvzfRkhkAqjX8JLXkBgQ==	夜曲 - 周杰倫
青花瓷	周杰伦	joox	I0CLfvbK2dSE8hS9hRF70A==	青花瓷 - 周杰倫
东风破	周杰伦	joox	CT+qM_EbYmXijaxK7JVSxw==	東風破 - 周杰倫
发如雪	周杰伦	joox	UwjLlP8KHsX11M+xcc+7+Q==	髮如雪 - 周杰倫
菊花台	周杰伦	joox	XbqZZ3Y67Zwo0snvSxFSlA==	菊花台 - 周杰倫
说好不哭	周杰伦	joox	0s1n1PXRbWxu_ydw05oKSg==	説好不哭 - 周杰倫
等你下课	周杰伦	joox	tlq4_8tfN5ocEPL5CFfstQ==	等你下課 - 周杰倫
后来	刘若英	joox	PSXU6Ybf0p98DQnLzrv2kQ==	後來 - 劉若英
为爱痴狂	刘若英	joox	OV_Ufxd5x0uVzylr1kmUwA==	為愛痴狂 - 劉若英
成全	林宥嘉	joox	8+hqpyIDwl3X5bv17NyDBQ==	成全 - 林宥嘉
说谎	林宥嘉	joox	oVzTlASwiPO1PR63B64jmQ==	説謊 - 林宥嘉
小幸运	田馥甄	joox	kwqBUVQLLhrHTPl63tcHqQ==	小幸運 - 田馥甄
演员	薛之谦	joox	1U6W15AxTd4ZJqwTi0QcVQ==	演員 - 薛之謙
丑八怪	薛之谦	joox	rLNGKOV_8oBGqcvGrlxqoA==	醜八怪 - 薛之謙
认真的雪	薛之谦	joox	3yIfwUO_tHsMzUFtpNx27g==	認真的雪 - 薛之謙
年少有为	李荣浩	joox	uTI_1HoC2y5ESu2+XJARdA==	年少有為 - 李榮浩
老街	李荣浩	netease	133998	老街 - 李荣浩
不将就	李荣浩	joox	RcUe6coklETq07oXBuRceA==	不將就 (電影"何以笙簫默"片尾曲) - 李榮浩
平凡之路	朴树	joox	_JgfHj1qTF_tgg3VBTrc3A==	平凡之路 - 朴樹
那些花儿	朴树	joox	a97rsbviWbFriO0uyqKg3w==	那些花兒 - 朴樹
白桦林	朴树	joox	L0OuF8Pkw9HemDUmWCp9NQ==	白樺林 - 朴樹
南山南	马頔	joox	I6NSTFlJebh1fWCxVxSdsw==	南山南 - 馬頔
成都	赵雷	joox	MHVmBbRwCLTFa0dDW4SvRg==	成都 - 趙雷
南方姑娘	赵雷	joox	2FttyrZQA0YacmAuppCpiA==	南方姑娘 - 趙雷
理想	赵雷	joox	XOf7H2An4EVeA0lt01J3bg==	理想 - 趙雷
画	赵雷	joox	izqkJbMvROL8SVpIAdc31Q==	畫 - 趙雷
少年锦时	赵雷	joox	mEWkfj8DKFgs_wRaVHz5CQ==	少年錦時 - 趙雷
鼓楼	赵雷	netease	447926067	鼓楼 - 赵雷
奇妙能力歌	陈粒	joox	kAfyIVSfPOrUzgLsfx+ivQ==	奇妙能力歌 - 陳粒
小半	陈粒	joox	i00PX+Yi_4VFbVKHolh1Vw==	小半 - 陳粒
光	陈粒	joox	0+4N9LPBLLkelnafe4uQcA==	光 - 陳粒
一万次悲伤	逃跑计划	netease	25706279	一万次悲伤 - 逃跑计划
夜空中最亮的星	逃跑计划	netease	25706282	夜空中最亮的星 - 逃跑计划
海阔天空	Beyond	joox	_XOgoxayHDWFwj1IqY3B6A==	海闊天空 - Beyond
光辉岁月	Beyond	joox	zD54DROnLNLmBGxh7DW_5A==	光輝歲月 - Beyond
真的爱你	Beyond	joox	SUg6QneN36zjXQSGmcl+cg==	真的愛妳 - Beyond
喜欢你	Beyond	joox	TJIOF93qpFuX_GBMGhf+9A==	喜歡你 - Beyond
不再犹豫	Beyond	joox	hMnsCiOLJRBFE0I2JiDX9g==	不再猶豫 - Beyond
一生所爱	卢冠廷	joox	yTkhdIqmkFu4OWOF97sEVg==	一生所愛 - 盧冠廷,莫文蔚
起风了	买辣椒也用券	joox	4u6Z3V0n__G_GIl6aOfASg==	起風了 (舊版) - 买辣椒也用券
错位时空	艾辰	netease	1808492017	错位时空 - 艾辰
你的答案	阿冗	joox	h9Fxx0F+3TK1CCqQPh5pvA==	你的答案 (完整版) - 阿冗
孤勇者	陈奕迅	joox	gMRHaCd8o_sHnVKqDgWz6w==	孤勇者 (《英雄聯盟：雙城之戰》動畫劇集中文主题曲) - 陳奕迅
